Way_ID,Source_Row,Longest_Road,Biggest_Army,Cities,Settlements,Victory_Point_Cards,Total_Victory_Points,Twelve_Point_Edge_Case,Article_Min_Cost,Buildings,New_Settlements_To_Build,City_Upgrades,Roads_To_Build,Development_Cards_To_Buy,Wheat_Needed,Ore_Needed,Wood_Needed,Brick_Needed,Wool_Needed,Production_Only_Total,Production_Minus_Article_Min
1,1,yes,no,2,5,0,11,no,42,7,5,2,7,0,9,6,12,12,5,44,2
2,2,yes,no,2,5,1,12,yes,45,7,5,2,7,1,10,7,12,12,6,47,2
3,3,no,yes,2,0,4,10,no,28,2,0,2,0,7,11,13,0,0,7,31,3
4,4,no,no,2,4,2,10,no,38,6,4,2,4,2,10,8,8,8,6,40,2
5,5,no,yes,2,0,5,11,no,31,2,0,2,0,8,12,14,0,0,8,34,3
6,6,yes,yes,2,0,3,11,no,30,2,0,2,3,6,10,12,3,3,6,34,4
7,7,yes,yes,2,0,2,10,no,27,2,0,2,3,5,9,11,3,3,5,31,4
8,8,no,no,2,5,1,10,no,43,7,5,2,6,1,10,7,11,11,6,45,2
9,9,no,yes,2,5,0,11,no,46,7,5,2,6,3,12,9,11,11,8,51,5
10,10,no,yes,1,2,5,11,no,32,3,1,1,1,8,11,11,2,2,9,35,3
11,11,no,yes,1,2,4,10,no,29,3,1,1,1,7,10,10,2,2,8,32,3
12,12,no,yes,1,1,5,10,no,26,2,0,1,0,8,10,11,0,0,8,29,3
13,13,yes,yes,1,5,1,12,yes,40,6,4,1,6,4,10,7,10,10,8,45,5
14,14,yes,yes,1,5,0,11,no,37,6,4,1,6,3,9,6,10,10,7,42,5
15,15,no,yes,3,0,3,11,no,36,3,1,3,1,6,13,15,2,2,7,39,3
16,16,no,yes,3,0,2,10,no,33,3,1,3,1,5,12,14,2,2,6,36,3
17,17,no,no,2,3,3,10,no,36,5,3,2,3,3,10,9,6,6,6,37,1
18,18,no,yes,0,4,4,10,no,29,4,2,0,2,7,9,7,4,4,9,33,4
19,19,no,yes,0,4,5,11,no,32,4,2,0,2,8,10,8,4,4,10,36,4
20,20,no,yes,0,3,5,10,no,27,3,1,0,1,8,9,8,2,2,9,30,3
21,21,no,yes,1,5,1,10,no,36,6,4,1,4,4,10,7,8,8,8,41,5
22,22,no,yes,1,5,2,11,no,39,6,4,1,4,5,11,8,8,8,9,44,5
23,23,no,no,2,2,4,10,no,33,4,2,2,2,4,10,10,4,4,6,34,1
24,24,no,yes,4,1,0,11,no,43,5,3,4,3,3,14,15,6,6,6,47,4
25,25,no,yes,1,3,4,11,no,34,4,2,1,2,7,11,10,4,4,9,38,4
26,26,no,yes,1,3,3,10,no,31,4,2,1,2,6,10,9,4,4,8,35,4
